# #fake data
# # z
# # mu
0.010000000 33.197723389
0.011761556 33.552005768
0.013833420 33.906112671
0.016270254 34.260219574
0.019136350 34.614326477
0.022507326 34.969867706
0.026472117 35.328704834
0.031135328 35.707462311
0.036619990 36.062397003
0.043070807 36.397037506
0.050657970 36.727619171
0.059581655 37.065357208
0.070077297 37.424549103
0.082421805 37.831146240
0.096940867 38.265335083
0.114017543 38.674163818
0.134102370 39.064266205
0.157725253 39.452232361
0.185509439 39.808059692
0.218187964 40.194026947
0.256622994 40.570816040
0.301828570 40.982933044
0.354997361 41.366775513
0.417532132 41.796394348
0.491082753 42.263797760
0.577589727 42.643848419
0.679335388 43.055629730
0.799004117 43.530483246
0.939753162 44.001453400
1.105295938 44.471813202
1.300000000 44.941963196
