# #fake data
# # z
# # mu
0.010000000 33.118644714
0.011761556 33.583297729
0.013833420 33.873161316
0.016270254 34.184883118
0.019136350 34.562084198
0.022507326 34.958286285
0.026472117 35.329711914
0.031135328 35.788696289
0.036619990 36.089469910
0.043070807 36.393901825
0.050657970 36.670394897
0.059581655 37.109474182
0.070077297 37.403480530
0.082421805 37.914550781
0.096940867 38.217269897
0.114017543 38.570060730
0.134102370 39.036766052
0.157725253 39.400329590
0.185509439 39.749443054
0.218187964 40.119457245
0.256622994 40.513668060
0.301828570 40.956829071
0.354997361 41.386730194
0.417532132 41.811779022
0.491082753 42.182849884
0.577589727 42.565223694
0.679335388 42.978988647
0.799004117 43.445102692
0.939753162 43.938987732
1.105295938 44.330005646
1.300000000 44.789901733
