# #fake data
# # z
# # mu
0.010000000 33.356869360
0.011761556 33.775709618
0.013833420 34.024839420
0.016270254 34.292366845
0.019136350 34.724073311
0.022507326 35.063680563
0.026472117 35.388772207
0.031135328 35.853486907
0.036619990 36.118233068
0.043070807 36.499626799
0.050657970 36.728320327
0.059581655 37.225770293
0.070077297 37.496327987
0.082421805 37.969388227
0.096940867 38.287764559
0.114017543 38.657538230
0.134102370 39.063731152
0.157725253 39.419711368
0.185509439 39.833001363
0.218187964 40.211680669
0.256622994 40.608893837
0.301828570 40.982952237
0.354997361 41.417054928
0.417532132 41.865310666
0.491082753 42.196908620
0.577589727 42.564072184
0.679335388 43.032509701
0.799004117 43.513310477
0.939753162 43.952111094
1.105295938 44.379813630
1.300000000 44.810893515
